#ord wav eff
0 4533.3183 0.04829501
1 4577.3261 0.04004419
2 4611.9956 0.04548301
3 4648.7373 0.04852168
4 4687.6137 0.04904944
5 4728.6743 0.04674898
6 4765.7734 0.05198252
7 4805.1293 0.05455681
8 4845.0869 0.06199704
9 4887.6826 0.05760104
10 4929.0527 0.05968586
11 4972.1401 0.05978844
12 5016.3481 0.06034343
13 5061.9228 0.06068916
14 5106.5708 0.06286158
15 5152.6181 0.06352260
16 5200.3271 0.06381091
17 5248.1704 0.06435247
18 5297.2861 0.06491487
19 5347.3281 0.06523471
20 5398.4003 0.06571609
21 5450.2998 0.06554853
22 5503.3632 0.06558732
23 5557.3881 0.06612593
24 5612.4829 0.06615599
25 5668.6796 0.06596419
26 5725.6850 0.06605923
27 5783.6064 0.06521075
28 5843.0551 0.06555930
29 5903.9111 0.06479808
30 5965.9633 0.06426885
31 6029.1635 0.06349215
32 6093.6362 0.06312569
33 6159.5102 0.06184223
34 6227.0991 0.06095025
35 6296.3696 0.06043336
36 6366.9243 0.05874391
37 6439.0830 0.05743986
38 6512.8071 0.05611732
39 6588.3398 0.05483264
40 6665.7456 0.05249966
41 6745.1870 0.05059416
42 6826.3476 0.04909622
43 6909.3891 0.04008717
44 6994.3813 0.04441946
45 7081.5996 0.04229848
46 7173.4838 0.03744331
47 7265.2353 0.03698687
48 7359.3696 0.03333651
49 7455.8754 0.03060243
50 7555.1699 0.02759584
51 7657.3666 0.03043500
52 7762.2524 0.02162193
53 7869.9399 0.01890886
54 7980.5468.0162058350
55 8094.1987 0.01406301
56 8211.6132 0.01180592
57 8332.3623 0.01047642
58 8456.7167 0.00814125
59 8584.5937 0.00733431
60 8716.4062 0.00555620
61 8852.4638 0.00363445
