#ord	wav	eff
1	4577.32617188	0.0400441946337
2	4611.99560547	0.0454830156839
4	4687.61376953	0.049049443947
6	4765.7734375	0.0519825226456
7	4805.12939453	0.0545568172963
9	4887.68261719	0.0576010496004
10	4929.05273438	0.0596858642062
11	4972.14013672	0.0597884417413
12	5016.34814453	0.0603434375935
13	5061.92285156	0.0606891698007
14	5106.57080078	0.062861587989
15	5152.61816406	0.0635226023831
16	5200.32714844	0.0638109191234
17	5248.17041016	0.0643524770589
18	5297.28613281	0.0649148789134
19	5347.328125	0.0652347147819
20	5398.40039062	0.0657160944527
21	5450.29980469	0.0655485378008
22	5503.36328125	0.0655873246033
23	5557.38818359	0.066125935077
24	5612.48291016	0.0661559981115
25	5668.6796875	0.0659641949781
26	5725.68505859	0.0660592313386
27	5783.60644531	0.0652107527981
28	5843.05517578	0.0655593042169
29	5903.91113281	0.06479808205
30	5965.96337891	0.0642688523318
31	6029.16357422	0.0634921524611
32	6093.63623047	0.0631256908742
33	6159.51025391	0.0618422388739
34	6227.09912109	0.0609502576142
35	6296.36962891	0.0604333665327
36	6366.92431641	0.0587439180954
37	6439.08300781	0.057439865907
38	6512.80712891	0.0561173259127
39	6588.33984375	0.05483264
40	6665.74560547	0.0524996664109
41	6745.18701172	0.0505941625358
42	6826.34765625	0.0490962214918
44	6994.38134766	0.0444194605063
45	7081.59960938	0.0422984876512
47	7265.23535156	0.0369868770142
48	7359.36962891	0.0333365102865
49	7455.87548828	0.0306024320797
50	7555.16992188	0.0275958421111
52	7762.25244141	0.0216219330223
53	7869.93994141	0.0189088626192
54	7980.546875	0.0162058350569
55	8094.19873047	0.0140630128363
56	8211.61328125	0.0118059256798
57	8332.36230469	0.0104764234649
58	8456.71679688	0.00814125274734
59	8584.59375	0.0073343171891
60	8716.40625	0.00555620584683
61	8852.46386719	0.00363445896697
