MRJD, smoothRV(m/s), error(m/s)
16091.924664, +1.45606, 1.3957 
16091.931898, +0.88088, 1.3801 
16091.939062, +0.63249, 1.3693 
16091.945810, +0.91530, 1.3874 
16094.959618, +0.27456, 1.3878 
16112.936574, -0.16388, 1.0597 
16112.943970, +0.17510, 1.0041 
16112.951771, +0.78988, 1.0645 
16113.833345, +0.51129, 0.9724 
16113.840556, +1.00887, 1.0539 
16113.847801, +1.33284, 0.9340 
16113.854919, +1.71819, 1.0252 
16113.862049, +2.40661, 1.0287 
16113.869248, +2.56650, 1.0481 
16115.850000, +2.81830, 0.9611 
16115.857188, +2.48659, 1.0288 
16115.864294, +2.66557, 1.0020 
16115.871481, +2.71678, 0.9374 
16115.878600, +2.45894, 1.0748 
16115.885810, +2.09630, 1.1125 
16116.836146, +2.03899, 1.0521 
16116.843275, +2.53497, 1.0457 
16116.850463, +2.23860, 1.0280 
16116.857593, +2.09858, 1.0306 
16116.864688, +1.89412, 1.0220 
16116.871968, +2.47823, 1.0287 
16117.888137, +2.26005, 0.9636 
16117.895208, +2.15988, 1.0669 
16117.902396, +2.55507, 1.0710 
16117.909502, +2.12754, 1.0861 
16117.916678, +2.12906, 1.1029 
16117.923796, +1.88457, 1.1096 
16118.837477, +1.77159, 0.9291 
16118.844653, +1.71939, 1.0349 
16118.851817, +1.51583, 1.0714 
16118.858889, +2.01240, 1.0292 
16118.866088, +1.88193, 0.9526 
16118.873218, +1.56768, 0.9199 
16119.881227, +1.99871, 0.9164 
16119.888264, +1.20398, 0.9959 
16119.895521, +1.84698, 0.8945 
16119.918021, +1.93149, 0.9253 
16119.925081, +1.74880, 0.9091 
16119.932234, +1.96426, 0.9169 
16120.841111, +1.51390, 1.2665 
16120.848414, +2.21904, 1.1963 
16120.855475, +1.50972, 1.2069 
16120.862650, +1.87733, 1.1781 
16120.869769, +2.66151, 1.1915 
16120.876910, +2.36943, 1.2371 
16121.807743, +2.94634, 1.0529 
16121.814676, +2.67286, 1.1126 
16121.822002, +2.81166, 1.4315 
16121.829236, +2.71405, 1.3595 
16121.836887, +2.51924, 1.4193 
16121.843819, +2.67693, 1.2583 
16123.813229, +2.49312, 0.9023 
16123.820336, +2.93841, 0.9484 
16123.827627, +3.39442, 0.9272 
