MRJD, smoothRV(m/s), error(m/s)
16091.924664, +2.12636, 1.3957 
16091.931898, +2.12636, 1.3801 
16091.939062, +2.12636, 1.3693 
16091.945810, +2.12636, 1.3874 
16094.959618, +2.02794, 1.3878 
16112.936574, +0.26905, 1.0597 
16112.943970, +0.26905, 1.0041 
16112.951771, +0.26905, 1.0645 
16113.833345, +0.26905, 0.9724 
16113.840556, +0.26905, 1.0539 
16113.847801, +0.26905, 0.9340 
16113.854919, +0.26905, 1.0252 
16113.862049, +0.26905, 1.0287 
16113.869248, +0.26905, 1.0481 
16115.850000, +2.64856, 0.9611 
16115.857188, +2.57834, 1.0288 
16115.864294, +2.60255, 1.0020 
16115.871481, +2.45629, 0.9374 
16115.878600, +2.42864, 1.0748 
16115.885810, +2.42864, 1.1125 
16116.836146, +2.42864, 1.0521 
16116.843275, +2.42864, 1.0457 
16116.850463, +2.32225, 1.0280 
16116.857593, +2.39487, 1.0306 
16116.864688, +2.47103, 1.0220 
16116.871968, +2.23398, 1.0287 
16117.888137, +2.01582, 0.9636 
16117.895208, +2.01582, 1.0669 
16117.902396, +2.01582, 1.0710 
16117.909502, +2.01582, 1.0861 
16117.916678, +2.01582, 1.1029 
16117.923796, +2.01582, 1.1096 
16118.837477, +2.01582, 0.9291 
16118.844653, +2.01582, 1.0349 
16118.851817, +2.01582, 1.0714 
16118.858889, +2.01582, 1.0292 
16118.866088, +2.01582, 0.9526 
16118.873218, +2.01582, 0.9199 
16119.881227, +1.75630, 0.9164 
16119.888264, +1.75630, 0.9959 
16119.895521, +1.75630, 0.8945 
16119.918021, +1.75630, 0.9253 
16119.925081, +1.75630, 0.9091 
16119.932234, +1.75630, 0.9169 
16120.841111, +2.07475, 1.2665 
16120.848414, +2.15298, 1.1963 
16120.855475, +2.15298, 1.2069 
16120.862650, +2.15298, 1.1781 
16120.869769, +2.15298, 1.1915 
16120.876910, +2.15298, 1.2371 
16121.807743, +2.23012, 1.0529 
16121.814676, +2.23012, 1.1126 
16121.822002, +2.23012, 1.4315 
16121.829236, +2.23012, 1.3595 
16121.836887, +2.23012, 1.4193 
16121.843819, +2.53268, 1.2583 
