
Star            RA(Epoch1991)  DEC(Epoch1991) Equinox  RA_MOTION    DEC_MOTION    PRLAX         RADVEL
------          -------------  -------------  ------   ---------    ----------    ----------    ------
GL107B          2 44 11.7      49 13 41.8      2000     0.33572230   -0.083704963  0.079300001    25.100000
CS22957-022     00 01 45.5    -05 49 46.6      2000     0.            0.           0.             0.
CS31085-024     00 08 27.7    +10 54 26	       2000     0.            0.           0.             0.
CS31070-058     00 14 33.9    +05 51 47	       2000     0.            0.           0.             0.
BS17570-090     00 25 43.8    +23 05 40        2000     0.            0.           0.             0.
CS31062-050     00 30 30.8    -12 05 13        2000     0.            0.           0.             0.
LP706-7         00 44 03.6    -13 55 26        2000     0.            0.           0.             0.
HD4306          00 45 27.2    -09 32 40        2000     0.            0.           0.             0.
CS22166-016     00 58 23.87   -14 47 07.3      2000     0.            0.           0.             0.
CS22183-015     01 00 52.9    -02 28 18        2000     0.            0.           0.             0.
CS22183-031     01 09 04.9    -04 43 25	       2000     0.            0.           0.             0.
CS31082-001     01 29 31.2    -16 00 48        2000     0.            0.           0.             0.
CS22962-006     01 37 58.5    -04 59 33	       2000     0.            0.           0.             0.
CS31061-062     02 32 50.1    +05 45 03	       2000     0.            0.           0.             0.
CS31078-018     03 01 00.5    +06 16 32	       2000     0.            0.           0.             0.  
CS22172-002     03 14 20.6    -10 35 10        2000     0.            0.           0.             0.  
CS22185-007     03 17 35.9    -15 17 22	       2000     0.            0.           0.             0.  
CS22169-035     04 12 13.9    -12 05 05        2000     0.            0.           0.             0.  
BD+03_740       05 01 16.62   +04 06 37        2000     0.            0.           0.             0.  
HD32963         05 07 55.8    +26 19 40.7      2000     0.            0.           0.             0.  
BD+24_1676      07 30 41.3    +24 05 10.2      2000     0.            0.           0.             0.  
BS17444-032     08 24 29.5    +38 13 05	       2000     0.            0.           0.             0.  
BS17139-007     08 54 12.6    +29 19 16	       2000     0.            0.           0.             0.  
HD84937         09 48 56.10   +13 44 39.3      2000     0.            0.           0.             0.  
HD237846        09 52 38.68   +57 54 58.6      2000     0.            0.           0.             0.  
HD88609         10 14 28.98   +53 33 39.4      2000     0.            0.           0.             0.
BS16945-054     10 51 01.8    +34 01 40	       2000     0.            0.           0.             0.  
BS16077-007     11 32 39.7    +31 17 05	       2000     0.            0.           0.             0.  
G122-69         12 03 04      +47 19 18        2000     0.            0.           0.             0.  
BS16920-017     12 07 17.1    +41 39 35	       2000     0.            0.           0.             0.  
BS16928-053     12 22 28.1    +34 11 24	       2000     0.            0.           0.             0.  
HD108317        12 26 36.83   +05 18 09.0      2000     0.            0.           0.             0.  
BS16085-050     12 37 46.7    +19 22 44	       2000     0.            0.           0.             0.  
HD110184        12 40 14.08   +08 31 38.1      2000     0.            0.           0.             0.  
BS16076-006     12 48 22.7    +20 56 41	       2000     0.            0.           0.             0.  
BS16929-005     13 03 29.4    +33 51 06        2000     0.            0.           0.             0.  
CS22877-001     13 13 55.35   -12 11 41.5      2000     0.            0.           0.             0.  
HD115444        13 16 42.46   +36 22 52.7      2000     0.            0.           0.             0.  
BS16467-062     13 42 00.6    +17 48 33        2000     0.            0.           0.             0.  
HD122563        14 02 31.85   +09 41 09.9      2000     0.            0.           0.             0.  
BS16550-087     14 10 26.9    +18 01 19	       2000     0.            0.           0.             0.  
BD+09_2870      14 16 29.94   +08 27 53.0      2000     0.            0.           0.             0.  
BS16477-003     14 32 57.0    +06 46 05	       2000     0.            0.           0.             0.  
BS16981-009     14 33 16.5    +00 40 40	       2000     0.            0.           0.             0.  
BD+26_2606      14 49 02.36   +25 42 09.2      2000     0.            0.           0.             0.  
CS30325-094     14 54 39.27   +04 21 38.0      2000     0.            0.           0.             0.  
BS16472-018     14 56 21.0    +01 52 36	       2000     0.            0.           0.             0.  
CS30325-028     15 05 19.8    +06 17 05	       2000     0.            0.           0.             0.  
BS16472-070     15 08 29.7    -00 36 02	       2000     0.            0.           0.             0.  
CS30301-015     15 08 56.7    +02 30 19	       2000     0.            0.           0.             0.  
CS30306-082     15 21 25.3    +05 57 26	       2000     0.            0.           0.             0.  
CS30312-100     15 43 31.8    +02 01 18	       2000     0.            0.           0.             0.  
BS16084-160     16 28 50.7    +54 37 03	       2000     0.            0.           0.             0.  
BS16080-054     16 39 18.5    +60 57 42	       2000     0.            0.           0.             0.  
LP_625-44       16 43 14      -01 55 18        2000     0.            0.           0.             0.  
CS22878-101     16 45 31.4    +08 14 46        2000     0.            0.           0.             0.  
BS16080-093     16 50 38.4    +59 13 06	       2000     0.            0.           0.             0.  
BD+23_3130      17 32 41.62   +23 44 11.6      2000     0.            0.           0.             0.  
HD338529        19 32 31.91   +26 23 26.1      2000     0.            0.           0.             0.  
HD186478        19 45 14.14   -17 29 27.1      2000     0.            0.           0.             0.  
BD-18_5550      19 58 49.74   -18 12 11.1      2000     0.            0.           0.             0.  
CS22950-046     20 21 28.4    -13 16 36        2000     0.            0.           0.             0.  
CS22880-086     20 45 47.5    -18 33 29        2000     0.            0.           0.             0.  
CS22898-027     21 05 45.10   -18 36 57.6      2000     0.            0.           0.             0.  
CS29506-007     21 17 38.4    -20 59 09        1950     0.            0.           0.             0.  
CS29506-090     21 27 38.4    -22 23 53        1950     0.            0.           0.             0.  
CS22944-032     21 47 43.1    -13 40 22        2000     0.            0.           0.             0.  
CS22965-016     21 57 07.8    -04 34 06        2000     0.            0.           0.             0.  
CS22965-029     21 59 32.0    -03 36 36        2000     0.            0.           0.             0.  
BS17569-049     22 04 58.2    +04 01 32        2000     0.            0.           0.             0.  
CS22892-052     22 17 01.5    -16 39 26        2000     0.            0.           0.             0.  
CS29502-042     22 21 48.82   +02 28 44.8      2000     0.            0.           0.             0.  
CS29502-092     22 22 35.9    -01 38 24	       2000     0.            0.           0.             0.  
CS29516-024     22 26 15.35   +02 51 46.2      2000     0.            0.           0.             0.  
CS22949-048     23 26 09.3    -05 49 58        2000     0.            0.           0.             0.  
CS22952-015     23 37 28.6    -05 47 56        2000     0.            0.           0.             0.  
CS22957-027     23 59 13.0    -03 53 49        2000     0.            0.           0.             0.  






























